script_path,syntax_status,safety_status,runnable_status,notes
05_OUTPUTS/installer_smoke_test/KICAD_ENGINE_TEST_2026-05-03T00-18-33-993Z/setup/windows/install_missing_windows_tools.ps1,PENDING_POWERSHELL_AST_PARSE,INSTALL_COMMAND_REVIEW,PENDING_PARSE,
31_PLAYWRIGHT_RESEARCH_PIPELINE/scripts/browser_research_public_page.js,PASS,NETWORK_OR_BROWSER_REVIEW,SYNTAX_ONLY_NOT_EXECUTED,
health_check.py,PASS,KICAD_SYSTEM_PATH_WRITE_REVIEW,SYNTAX_ONLY_NOT_EXECUTED,
installer/build/windows/win-unpacked/resources/payload/repo-template/03_TOOLS/scripts/kicad_app_audit/audit_kicad_windows.ps1,PENDING_POWERSHELL_AST_PARSE,KICAD_SYSTEM_PATH_WRITE_REVIEW,PENDING_PARSE,
installer/build/windows/win-unpacked/resources/payload/repo-template/03_TOOLS/scripts/kicad_app_audit/check_kicad_cli.ps1,PENDING_POWERSHELL_AST_PARSE,KICAD_SYSTEM_PATH_WRITE_REVIEW,PENDING_PARSE,
installer/build/windows/win-unpacked/resources/payload/repo-template/03_TOOLS/scripts/kicad_app_audit/inventory_kicad_libraries.ps1,PENDING_POWERSHELL_AST_PARSE,KICAD_SYSTEM_PATH_WRITE_REVIEW,PENDING_PARSE,
installer/build/windows/win-unpacked/resources/payload/repo-template/03_TOOLS/scripts/kicad_automation_common.ps1,PENDING_POWERSHELL_AST_PARSE,KICAD_SYSTEM_PATH_WRITE_REVIEW,PENDING_PARSE,
installer/build/windows/win-unpacked/resources/payload/repo-template/03_TOOLS/scripts/kicad_engine_health_check.ps1,PENDING_POWERSHELL_AST_PARSE,KICAD_SYSTEM_PATH_WRITE_REVIEW,PENDING_PARSE,
installer/build/windows/win-unpacked/resources/payload/repo-template/03_TOOLS/scripts/kicad_libraries/kicad_library_common.py,PASS,KICAD_SYSTEM_PATH_WRITE_REVIEW,SYNTAX_ONLY_NOT_EXECUTED,
installer/build/windows/win-unpacked/resources/payload/repo-template/03_TOOLS/scripts/project_validation/validate_kicad_project.py,PASS,KICAD_SYSTEM_PATH_WRITE_REVIEW,SYNTAX_ONLY_NOT_EXECUTED,
installer/build/windows/win-unpacked/resources/payload/repo-template/health_check.py,PASS,KICAD_SYSTEM_PATH_WRITE_REVIEW,SYNTAX_ONLY_NOT_EXECUTED,
installer/build/windows/win-unpacked/resources/payload/repo-template/setup/linux/install_missing_linux_tools.sh,NOT_RUN_BASH_UNAVAILABLE,INSTALL_COMMAND_REVIEW,NOT_EXECUTED,
installer/build/windows/win-unpacked/resources/payload/repo-template/setup/macos/install_missing_macos_tools.sh,NOT_RUN_BASH_UNAVAILABLE,INSTALL_COMMAND_REVIEW;NO_OBVIOUS_DRY_RUN_GATE,NOT_EXECUTED,
installer/build/windows/win-unpacked/resources/payload/repo-template/setup/windows/install_missing_windows_tools.ps1,PENDING_POWERSHELL_AST_PARSE,INSTALL_COMMAND_REVIEW,PENDING_PARSE,
installer/payload/build_payload.py,PASS,DESTRUCTIVE_PATTERN_REVIEW,SYNTAX_ONLY_NOT_EXECUTED,
installer/src/installer-core/workspaceCreate.js,PASS,KICAD_SYSTEM_PATH_WRITE_REVIEW,SYNTAX_ONLY_NOT_EXECUTED,
installer/src/main.js,PASS,NETWORK_OR_BROWSER_REVIEW,SYNTAX_ONLY_NOT_EXECUTED,
setup/linux/install_missing_linux_tools.sh,NOT_RUN_BASH_UNAVAILABLE,INSTALL_COMMAND_REVIEW,NOT_EXECUTED,
setup/macos/check_macos_requirements.sh,NOT_RUN_BASH_UNAVAILABLE,KICAD_SYSTEM_PATH_WRITE_REVIEW,NOT_EXECUTED,
setup/macos/install_missing_macos_tools.sh,NOT_RUN_BASH_UNAVAILABLE,INSTALL_COMMAND_REVIEW,NOT_EXECUTED,
setup/windows/install_missing_windows_tools.ps1,PENDING_POWERSHELL_AST_PARSE,INSTALL_COMMAND_REVIEW,PENDING_PARSE,
03_TOOLS/linux/scripts/check_linux_kicad_env.sh,NOT_RUN_BASH_UNAVAILABLE,LOW_RISK_STATIC,NOT_EXECUTED,
03_TOOLS/linux/scripts/wmctrl/list_windows.sh,NOT_RUN_BASH_UNAVAILABLE,LOW_RISK_STATIC,NOT_EXECUTED,
03_TOOLS/linux/scripts/xdotool/list_windows.sh,NOT_RUN_BASH_UNAVAILABLE,LOW_RISK_STATIC,NOT_EXECUTED,
03_TOOLS/linux/scripts/xvfb/run_kicad_headless_check.sh,NOT_RUN_BASH_UNAVAILABLE,LOW_RISK_STATIC,NOT_EXECUTED,
03_TOOLS/scripts/ai_quality/ai_quality_common.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/ai_quality/build_ai_quality_index.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/ai_quality/build_current_known_problems.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/ai_quality/create_ai_self_review.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/ai_quality/create_claim_evidence_matrix.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/ai_quality/create_hallucination_risk_log.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/ai_quality/create_quality_gate_failure.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/ai_quality/create_response_scorecard.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/ai_quality/create_uncertainty_log.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/backup_kicad_project.ps1,PENDING_POWERSHELL_AST_PARSE,LOW_RISK_STATIC,PENDING_PARSE,
03_TOOLS/scripts/datasheet_tree/create_microcontroller_family_content.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/datasheets/build_datasheet_index.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/datasheets/build_stm32_ai_datasheet_tree.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/datasheets/build_stm32_source_link_indexes.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/datasheets/create_missing_datasheet_report.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/datasheets/generate_component_summary_stub.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/datasheets/validate_datasheet_links.py,PASS,LOW_RISK_STATIC,SYNTAX_ONLY_NOT_EXECUTED,
03_TOOLS/scripts/export_bom.ps1,PENDING_POWERSHELL_AST_PARSE,LOW_RISK_STATIC,PENDING_PARSE,
03_TOOLS/scripts/export_drill.ps1,PENDING_POWERSHELL_AST_PARSE,LOW_RISK_STATIC,PENDING_PARSE,
